,Buenos Aires,CABA,Catamarca,Chaco,Chubut,Cordoba,Corrientes,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago des Estero,Tierra del Fuego,Tucuman
Mar-20,9.44%,6.42%,0.00%,5.66%,0.00%,3.33%,0.00%,0.00%,,0.00%,0.00%,33.33%,16.13%,0.00%,9.38%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.00%,14.81%
Apr-20,10.95%,9.42%,0.00%,6.38%,0.00%,8.57%,0.00%,0.00%,0.00%,2.38%,0.00%,5.63%,5.56%,7.14%,4.12%,5.14%,20.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.00%
May-20,7.35%,3.80%,0.00%,8.76%,10.00%,5.11%,1.23%,0.00%,0.00%,4.44%,0.00%,7.30%,4.26%,0.00%,0.00%,2.80%,0.00%,0.00%,0.00%,0.00%,3.33%,0.00%,3.85%,1.89%
Jun-20,5.46%,3.34%,0.00%,3.63%,0.70%,1.24%,3.23%,0.00%,0.00%,3.57%,16.67%,11.43%,4.11%,15.38%,3.98%,6.54%,0.00%,11.11%,0.00%,14.29%,1.81%,9.52%,0.00%,0.00%
Jul-20,4.80%,3.33%,0.40%,3.32%,1.59%,1.35%,2.04%,2.66%,0.00%,4.94%,0.00%,4.32%,4.43%,0.00%,1.85%,4.03%,1.14%,0.00%,0.00%,1.42%,2.28%,0.00%,1.76%,0.27%
Aug-20,4.03%,2.44%,3.06%,3.87%,0.48%,2.17%,0.00%,2.99%,12.50%,5.86%,4.69%,6.15%,3.84%,0.00%,3.11%,3.69%,3.66%,5.74%,1.57%,2.62%,2.61%,1.52%,2.57%,2.16%
Sep-20,3.78%,2.01%,0.00%,2.93%,2.46%,2.34%,2.97%,3.23%,0.00%,4.53%,2.04%,4.08%,2.70%,0.00%,2.60%,3.14%,5.18%,8.27%,2.06%,2.11%,2.67%,2.35%,1.40%,2.00%
Oct-20,3.27%,1.73%,1.02%,2.91%,1.96%,2.29%,3.27%,2.46%,4.65%,4.38%,1.38%,3.18%,2.79%,1.69%,2.34%,2.50%,5.09%,3.41%,2.35%,2.55%,2.12%,1.18%,1.52%,2.14%
Nov-20,3.15%,1.52%,0.71%,2.26%,2.19%,1.70%,1.84%,2.24%,0.00%,3.61%,2.09%,2.86%,2.78%,0.98%,1.74%,1.62%,3.59%,2.12%,1.96%,2.16%,1.70%,0.83%,1.55%,1.72%
Dec-20,2.85%,1.46%,0.53%,2.19%,1.57%,1.11%,2.02%,2.01%,2.33%,1.90%,1.62%,6.29%,1.96%,1.87%,1.59%,2.02%,2.23%,1.19%,1.93%,1.31%,1.57%,1.05%,1.40%,1.93%
Jan-21,2.33%,1.12%,0.79%,1.80%,2.11%,1.19%,1.25%,1.72%,1.58%,2.92%,2.00%,2.54%,1.98%,2.12%,1.25%,1.43%,3.27%,1.75%,0.93%,1.37%,1.76%,1.06%,2.10%,1.33%
Feb-21,2.55%,1.45%,0.79%,1.62%,1.60%,0.95%,1.50%,1.55%,4.79%,2.85%,1.23%,2.16%,1.92%,1.65%,1.79%,2.15%,3.32%,1.61%,1.35%,1.55%,1.92%,1.00%,1.33%,1.26%
Mar-21,2.55%,1.43%,0.85%,2.03%,1.59%,0.93%,1.06%,0.98%,3.16%,3.79%,1.10%,1.53%,2.35%,1.84%,1.58%,2.23%,3.40%,1.26%,1.03%,1.26%,1.51%,1.42%,2.12%,1.29%
Apr-21,2.68%,1.38%,1.39%,1.89%,1.63%,1.00%,1.65%,1.27%,4.00%,2.37%,1.35%,2.34%,2.37%,0.85%,1.54%,1.91%,1.81%,1.64%,1.43%,1.48%,1.77%,1.11%,1.24%,1.42%
May-21,2.85%,1.41%,1.29%,1.94%,1.48%,1.23%,0.88%,1.66%,1.83%,1.60%,1.43%,2.16%,2.93%,1.54%,2.02%,2.43%,2.12%,1.72%,2.03%,1.28%,1.86%,1.87%,1.18%,1.43%
Jun-21,2.43%,1.23%,1.55%,2.29%,1.58%,1.09%,0.45%,1.50%,1.79%,1.75%,1.14%,2.60%,2.47%,2.67%,1.95%,2.39%,2.00%,1.16%,1.92%,1.54%,1.38%,1.87%,0.73%,0.88%
