STATE,CFR
BUENOS AIRES,0.03055707166135427
CAPITAL FEDERAL,0.017213605303441386
SANTA FE,0.018985821756129014
ENTRE RIOS,0.018248911265322586
CORDOBA,0.01370787349518596
SAN LUIS,0.017705179481428874
MENDOZA,0.02885704098037621
SANTA CRUZ,0.016918545531049475
LA PAMPA,0.01478546867992226
CHACO,0.023335183700322785
FORMOSA,0.019464720194647202
SALTA,0.03254305928863283
NEUQUEN,0.020255798298757725
CHUBUT,0.017980583991236355
SANTIAGO DEL ESTERO,0.015045173804297892
RIO NEGRO,0.023543475397878655
TUCUMAN,0.016247196855571203
SAN JUAN,0.015835667061235095
CATAMARCA,0.011185771539090384
LA RIOJA,0.030435451607939683
TIERRA DEL FUEGO,0.015846994535519125
CORRIENTES,0.015399209486166007
JUJUY,0.03208439591098324
MISIONES,0.02036171996646305
