,STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
0,MISIONES,0,0,0,0,0,0,0,0,0,1555,6325,23341,48277,91958,146222
1,BUENOS AIRES,0,0,0,0,0,0,0,0,0,5413,138628,354614,973560,1565839,1624352
2,CAPITAL FEDERAL,0,0,0,0,0,0,0,0,0,1249,24397,93531,230571,428416,399063
3,SANTA FE,0,0,0,0,0,0,0,0,0,2200,26787,61740,200128,327038,314676
4,CORDOBA,0,0,0,0,0,0,0,0,0,6218,28159,74765,209667,320634,375275
5,MENDOZA,0,0,0,0,0,0,0,0,0,643,12945,17067,115757,203716,183026
6,CHUBUT,0,0,0,0,0,0,0,0,0,455,3878,8372,38737,56254,58524
7,TUCUMAN,0,0,0,0,0,0,0,0,0,3589,11879,26120,78050,161152,148147
8,SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,970,7664,16017,45803,77051,106423
9,ENTRE RIOS,0,0,0,0,0,0,0,0,0,732,11697,21792,71136,134621,136670
10,LA PAMPA,0,0,0,0,0,0,0,0,0,784,3174,10930,22305,42459,49726
11,SALTA,0,0,0,0,0,0,0,0,0,2418,9918,29547,65915,109157,136692
12,CORRIENTES,0,0,0,0,0,0,0,0,0,987,8344,15281,60700,95972,130348
13,CATAMARCA,0,0,0,0,0,0,0,0,0,627,3867,6377,23491,39920,42898
14,SAN LUIS,0,0,0,0,0,0,0,0,0,1789,3226,10822,33823,54263,59380
15,LA RIOJA,0,0,0,0,0,0,0,0,0,1208,3820,8431,22847,39388,40468
16,FORMOSA,0,0,0,0,0,0,0,0,0,1753,4783,8905,39273,48814,53842
17,SANTA CRUZ,0,0,0,0,0,0,0,0,0,554,2695,8411,20105,26722,41442
18,JUJUY,0,0,0,0,0,0,0,0,0,1072,6545,14874,38664,62454,52966
19,NEUQUEN,0,0,0,0,0,0,0,0,0,1616,4702,18105,43798,57066,84304
20,SAN JUAN,0,0,0,0,0,0,0,0,0,1099,4489,11284,42450,81620,60513
21,CHACO,0,0,0,0,0,0,0,0,0,1428,9952,17536,64787,98718,134598
22,S.I.,0,0,0,0,0,0,0,0,0,318,3355,7430,13517,15838,18694
23,RIO NEGRO,0,0,0,0,0,0,0,0,0,1769,6189,17168,38536,78203,80411
24,TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,147,1873,3073,9458,20204,16766
